Filename,Norm,All,CRC32Norm,CRC32All,Pack Hdr,MD5
topfin21.opk,0012B6C2,0012BB20,AFAB579D,480D3056,7B3B,92a53524c114c946fa762cc4d4e1e3dc
topfin22.opk,0012B9C8,0012BE2C,3C19BA0E,8BFBFC3F,733B,38dec1d609b551d367d3761e6e6692b5
topo.opk,0043682B,00436CB9,D87BBA78,18172DF8,5F49,2913e87c02ceb59fe50a191c708147a2
travel12.opk,004AAE9C,004AB386,15CE2C4F,03946BC2,5741,f735213863acf45ec5cecf3a62853e65
travel15.opk,004A542B,004A5938,9801B5E2,38310574,5741,786a0f76624d00cef64f731c948da65c
travel20.opk,004710F8,00471631,AB3C9CB6,3D957211,5741,c9da41acdcb6a0f835bd276fd4915da3
treplz16.opk,0011C850,0011CDC0,430734DB,3D270A1E,F0A8,da6da0ee2fac7e47ab27aeb51bb5a0b1
xbase2.opk,001573B8,00157689,8470B042,FAECAAC5,6202,c4c726f0ac84265605c7be42b38829e8
xbase3.opk,0015ACFC,0015AFBF,BCD269AC,4A97FE68,6202,493ba04495ac51826322b82c4aba3909
xform1.opk,0028EDC6,0028F0F3,BB7C0751,5A690EAD,802F,8f646b24c29207002023ba1067f63229
xform2.opk,0029CC2F,0029CF9E,C1CE8048,CF3FD9C4,8D2F,f8538cda393d2ba81f1ac978ec3d3587


